Model name;Random seed;Status;Objective;Lower bound;Time;Last solution time;LB time;Solutions;LNS steps;Restarts;Branches;Fails;Memory;Int Vars;IntervalVars;Constraints;Solver;Workers;Time limit;Parameters;CPU;Date
jobshop_abz6;1;Optimum;943;943;0.03;0.02;0.03;13;629;9;60523;24622;3543360;0;100;101;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T07:28:23.314Z"
jobshop_abz5;1;Optimum;1234;1234;0.12;0.03;0.12;19;2298;27;181718;80732;3884032;0;100;101;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T07:28:23.417Z"
jobshop_abz7;1;Optimum;656;656;107.42;107.42;77.36;68;834868;836;129908411;51072947;7943232;0;300;296;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T07:30:10.715Z"
jobshop_abz9;1;Optimum;678;678;809.01;291.67;809.01;129;5620313;572;968783177;361027530;7743488;0;300;296;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T07:41:52.449Z"
jobshop_abz8;1;Solution;667;608;3600.00;682.63;0.00;89;25657259;596;4381044277;1644135628;6770432;0;300;296;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T08:28:23.336Z"
jobshop_demirkol_cscmax_20_15_10;1;Solution;3309;2902;3600.00;517.46;0.00;168;22596897;695;4062504978;1476736803;8222016;0;300;296;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T08:30:10.736Z"
jobshop_demirkol_cscmax_20_15_1;1;Solution;3312;2955;3600.00;2236.81;0.00;241;24938367;932;4279621164;1593065601;8619776;0;300;296;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T08:41:52.473Z"
jobshop_demirkol_cscmax_20_15_5;1;Solution;3435;3130;3600.00;1912.48;0.00;205;23605526;951;4140610554;1524063723;8894016;0;300;296;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T09:28:23.359Z"
jobshop_demirkol_cscmax_20_15_7;1;Solution;3534;3238;3600.00;1544.97;0.00;203;23113060;826;4141326417;1506299247;8416000;0;300;296;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T09:30:10.759Z"
jobshop_demirkol_cscmax_20_15_8;1;Solution;3464;3224;3600.00;692.35;0.00;183;22866688;996;4278164732;1516963326;8702208;0;300;296;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T09:41:52.496Z"
jobshop_demirkol_cscmax_20_20_2;1;Solution;3815;3377;3600.00;1858.24;0.00;220;17547361;582;4160471410;1351184516;11524480;0;400;401;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T10:28:23.382Z"
jobshop_demirkol_cscmax_20_20_3;1;Solution;3864;3385;3600.00;1857.52;0.00;226;18289577;1477;4247759349;1393581161;12969344;0;400;401;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T10:30:10.782Z"
jobshop_demirkol_cscmax_20_20_4;1;Solution;4066;3452;3600.00;1369.68;0.00;211;17935345;677;4209921685;1377801267;10246272;0;400;401;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T10:41:52.518Z"
